iter	Logloss
0	0.6428143823
1	0.6023104376
2	0.5701315603
3	0.5461990092
4	0.526385461
5	0.511404972
6	0.4996121539
7	0.4895593695
8	0.4813573674
9	0.4745040173
10	0.4691847498
11	0.4649768503
12	0.4618426925
13	0.4595068449
14	0.4574590316
15	0.4554575818
16	0.4538417255
17	0.4527685719
18	0.4516581046
19	0.4506598843
20	0.4495958715
21	0.448727487
22	0.4480211471
23	0.4473389436
24	0.4468549964
25	0.4465178179
26	0.4461828243
27	0.4457880851
28	0.4454978928
29	0.4452544131
30	0.4450541764
31	0.4448849712
32	0.4446586046
33	0.4444160355
34	0.4442160033
35	0.4440125592
36	0.4438548532
37	0.443726542
38	0.4434426076
39	0.4432816527
40	0.4431917388
41	0.4430677894
42	0.4429663234
43	0.442880685
44	0.4427490384
45	0.4426387315
46	0.4425161791
47	0.4424084031
48	0.4423025251
49	0.4422237529
50	0.4421129336
51	0.442021594
52	0.4419183105
53	0.4418525197
54	0.4416703207
55	0.4415902411
56	0.4415101352
57	0.4414598852
58	0.441392156
59	0.4413172891
60	0.4412612018
61	0.4411774802
62	0.4411047305
63	0.4410396353
64	0.4409941429
65	0.4409580714
66	0.4408745556
67	0.4407973588
68	0.4407506438
69	0.4406828881
70	0.440479468
71	0.4404333068
72	0.4403659208
73	0.4402751215
74	0.4402143939
75	0.4401401808
76	0.4400776841
77	0.4400201194
78	0.4399546144
79	0.4398792843
80	0.439803521
81	0.4397642712
82	0.439710469
83	0.4396627091
84	0.4396004741
85	0.4395298188
86	0.4394746165
87	0.4394200634
88	0.439366787
89	0.4393173878
90	0.4392708773
91	0.4392341421
92	0.4391997962
93	0.439136036
94	0.4390591222
95	0.4390003626
96	0.4389375655
97	0.4388929204
98	0.4388310165
99	0.4387983639
100	0.4387691575
101	0.4387301814
102	0.4387055709
103	0.4386546802
104	0.4386026525
105	0.4385506269
106	0.4384868229
107	0.4384201364
108	0.4383817643
109	0.4383430377
110	0.4382813478
111	0.4382414341
112	0.4381972228
113	0.4381603712
114	0.4381108265
115	0.4380609089
116	0.4380189454
117	0.4379770343
118	0.4379246856
119	0.4378742573
120	0.4378370066
121	0.4377893563
122	0.4377325048
123	0.4377076212
124	0.4376606586
125	0.4376125695
126	0.4375682729
127	0.4375275382
128	0.4374905893
129	0.4374514237
130	0.4373423921
131	0.4372937638
132	0.4372456854
133	0.437202505
134	0.4371627903
135	0.4371217775
136	0.4370800341
137	0.4370386832
138	0.4369851191
139	0.4369424879
140	0.4368972992
141	0.4368449529
142	0.4367912734
143	0.4367423021
144	0.4367075974
145	0.4366566271
146	0.4366067112
147	0.4365641956
148	0.4365197323
149	0.4364809152
150	0.4364364888
151	0.4363978701
152	0.4363352877
153	0.436290162
154	0.4362365481
155	0.4361965014
156	0.4361588626
157	0.4361202268
158	0.4360550447
159	0.4360257507
160	0.4359913209
161	0.4359420897
162	0.4359099894
163	0.4358710407
164	0.4358259725
165	0.4357790416
166	0.4357306628
167	0.4356757986
168	0.43563339
169	0.4355844301
170	0.4355470418
171	0.4354944905
172	0.4354558039
173	0.4354163355
174	0.4353675049
175	0.4353298141
176	0.4352943375
177	0.435249312
178	0.4352324987
179	0.4352025897
180	0.4351621376
181	0.4351194294
182	0.4351130849
183	0.4350721975
184	0.4350406391
185	0.4350035357
186	0.4349747063
187	0.4349352321
188	0.434896449
189	0.4348139672
190	0.4347790176
191	0.4347411679
192	0.4346918656
193	0.4346523374
194	0.4346002051
195	0.4345667621
196	0.4345274306
197	0.4344859912
198	0.4344486112
199	0.4344218406
200	0.4344201818
201	0.4343762379
202	0.4343472232
203	0.4343061619
204	0.4342696477
205	0.4342237252
206	0.4341968953
207	0.4341671028
208	0.4341253287
209	0.4340917673
210	0.4340512578
211	0.4340182418
212	0.4339833422
213	0.4339592398
214	0.4339141596
215	0.4338889071
216	0.4338870388
217	0.4338624293
218	0.433817925
219	0.4337648648
220	0.4337283527
221	0.4336874435
222	0.4336474802
223	0.4336071176
224	0.4335693515
225	0.4335240727
226	0.4334955777
227	0.4334560652
228	0.4334231194
229	0.4333907557
230	0.4333541608
231	0.4333222227
232	0.433320866
233	0.4332901164
234	0.433266688
235	0.4332346436
236	0.4332062413
237	0.4331808694
238	0.4331384561
239	0.4330860621
240	0.4330483577
241	0.4330091085
242	0.4329658352
243	0.4329294001
244	0.432880305
245	0.4328475874
246	0.4328190175
247	0.4327893074
248	0.4327528645
249	0.4327276511
250	0.4326970274
251	0.4326569703
252	0.4326268302
253	0.4325983333
254	0.4325664952
255	0.4325396096
256	0.4324984883
257	0.4324659598
258	0.432452908
259	0.4324181146
260	0.4323846513
261	0.4323474037
262	0.432317841
263	0.4322902668
264	0.4322555695
265	0.4322132376
266	0.4321856744
267	0.4321432171
268	0.4321168515
269	0.4320917454
270	0.4320516743
271	0.4320293936
272	0.4319930875
273	0.4319586886
274	0.4319294205
275	0.4319072823
276	0.4318906994
277	0.4318553596
278	0.4318299609
279	0.4318073381
280	0.4317761112
281	0.4317298005
282	0.4316917784
283	0.4316608777
284	0.4316600716
285	0.4316218654
286	0.431591646
287	0.4315688784
288	0.4315286922
289	0.4315056259
290	0.4314665036
291	0.4314441414
292	0.4314013839
293	0.4313717438
294	0.4313508763
295	0.4313205169
296	0.431293272
297	0.4312701795
298	0.4312412484
299	0.4312089184
300	0.4311736805
301	0.4311605052
302	0.43112951
303	0.431086165
304	0.4310627975
305	0.4310432225
306	0.4309736986
307	0.4309504509
308	0.4309269104
309	0.4308962476
310	0.4308649748
311	0.4308334412
312	0.4308058053
313	0.4307818802
314	0.4307506075
315	0.4307218766
316	0.4306855386
317	0.4306443288
318	0.4306194448
319	0.430591161
320	0.4305575026
321	0.430533982
322	0.4304995947
323	0.4304647558
324	0.4304285196
325	0.4304019733
326	0.4303965045
327	0.4303623626
328	0.4303382741
329	0.4303183388
330	0.4302827945
331	0.430258847
332	0.4302288817
333	0.4301959805
334	0.4301896781
335	0.4301555179
336	0.4301140943
337	0.4300904016
338	0.4300750269
339	0.4300468092
340	0.4300168733
341	0.4299925821
342	0.4299584709
343	0.4299309628
344	0.4299022121
345	0.4298683633
346	0.4298344288
347	0.4298162437
348	0.429782987
349	0.4297582787
350	0.4297263356
351	0.4297102924
352	0.429680315
353	0.42964427
354	0.4296164631
355	0.4295844069
356	0.4295613903
357	0.4295556615
358	0.4295246335
359	0.4294976177
360	0.4294768846
361	0.4294456555
362	0.4294202557
363	0.4293934211
364	0.4293698543
365	0.4293452309
366	0.4293251347
367	0.4292904957
368	0.4292500706
369	0.4292257202
370	0.4291978901
371	0.4291749948
372	0.4291515097
373	0.4291283156
374	0.4291046938
375	0.4290629948
376	0.4290351296
377	0.4290096914
378	0.4289859262
379	0.4289579428
380	0.4289293554
381	0.4288969757
382	0.4288775785
383	0.4288430493
384	0.4288130346
385	0.4287642573
386	0.4287467594
387	0.428719614
388	0.4286892022
389	0.4286607501
390	0.4286281993
391	0.4286059158
392	0.4285834432
393	0.4285547254
394	0.4285296931
395	0.4285073912
396	0.4284830941
397	0.4284650244
398	0.4284425639
399	0.4284151873
